unique_key,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,year
12938483,JG100213,2023-01-01 03:18:00.000000 UTC,031XX W IRVING PARK RD,THEFT,RETAIL THEFT,DRUG STORE,false,false,1733,17,33,16,06,41.953924785,-87.707307,2023
13308396,JG538168,2023-06-01 00:00:00.000000 UTC,033XX N ALBANY AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1733,17,33,21,14,41.941561767,-87.705237278,2023
13035708,JG215575,2023-04-08 15:54:00.000000 UTC,029XX W ADDISON ST,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,1733,17,33,21,14,41.946655301,-87.700787218,2023
13105761,JG299832,2023-06-10 21:36:00.000000 UTC,022XX N SHEFFIELD AVE,ASSAULT,SIMPLE,SCHOOL - PRIVATE GROUNDS,false,false,1811,18,43,7,08A,41.922655899,-87.653519985,2023
13278472,JG504733,2023-11-10 13:30:00.000000 UTC,020XX N Racine Ave,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,1811,18,43,7,06,41.918913251,-87.65825181,2023
13281189,JG508954,2023-11-17 22:15:00.000000 UTC,022XX N CLIFTON AVE,THEFT,$500 AND UNDER,RESIDENCE,false,false,1811,18,43,7,06,41.922375467,-87.657149706,2023
12993596,JG165685,2023-02-25 14:30:00.000000 UTC,018XX N CLYBOURN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1811,18,2,7,06,41.914035604,-87.653868654,2023
13003737,JG177777,2023-03-07 18:45:00.000000 UTC,014XX W SHAKESPEARE AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1811,18,2,7,14,41.920729648,-87.664299129,2023
12943277,JG105757,2023-01-03 14:54:00.000000 UTC,009XX W FULLERTON AVE,BATTERY,SIMPLE,CTA TRAIN,false,false,1812,18,43,7,08B,41.925398601,-87.652337017,2023
13056026,JG240048,2023-04-27 23:40:00.000000 UTC,009XX W FULLERTON AVE,BATTERY,SIMPLE,CTA TRAIN,false,false,1812,18,43,7,08B,41.925398449,-87.652311296,2023
12982033,JG151635,2023-01-31 19:00:00.000000 UTC,022XX N BISSELL ST,THEFT,OVER $500,STREET,false,false,1812,18,43,7,06,41.922308364,-87.652296388,2023
13262898,JG487074,2023-10-28 16:47:00.000000 UTC,009XX W FULLERTON AVE,THEFT,FROM BUILDING,SCHOOL - PRIVATE GROUNDS,false,false,1812,18,43,7,06,41.925400604,-87.652212057,2023
13288378,JG517446,2023-11-25 19:30:00.000000 UTC,022XX N LINCOLN AVE,THEFT,FROM BUILDING,RESTAURANT,false,false,1812,18,43,7,06,41.922642605,-87.644840892,2023
13094452,JG286125,2023-05-26 20:30:00.000000 UTC,017XX N HUDSON AVE,THEFT,OVER $500,STREET,false,false,1813,18,43,7,06,41.913252147,-87.639871718,2023
13144814,JG346106,2023-07-15 13:00:00.000000 UTC,019XX N DAYTON ST,THEFT,OVER $500,STREET,false,false,1813,18,43,7,06,41.916900429,-87.649682747,2023
13109050,JG303525,2023-06-15 21:20:00.000000 UTC,009XX W WILLOW ST,THEFT,$500 AND UNDER,STREET,false,false,1813,18,43,7,06,41.913785825,-87.651082722,2023
13037467,JG217402,2023-04-09 19:00:00.000000 UTC,017XX N CLYBOURN AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1813,18,2,7,14,41.912616103,-87.651892427,2023
13307779,JG539985,2023-12-13 18:18:00.000000 UTC,018XX N CLARK ST,ASSAULT,SIMPLE,HOTEL / MOTEL,false,false,1814,18,43,7,08A,41.915259074,-87.634136763,2023
13239656,JG457516,2023-10-09 21:26:00.000000 UTC,002XX W NORTH AVE,THEFT,$500 AND UNDER,ATHLETIC CLUB,false,false,1814,18,2,7,06,41.911151209,-87.63598179,2023
13287062,JG515961,2023-11-21 18:00:00.000000 UTC,003XX W CONCORD PL,THEFT,$500 AND UNDER,STREET,false,false,1814,18,2,7,06,41.912103564,-87.637356493,2023
12940515,JG102530,2023-01-03 07:00:00.000000 UTC,002XX W NORTH AVE,THEFT,$500 AND UNDER,OTHER (SPECIFY),false,false,1814,18,2,7,06,41.911148688,-87.636018557,2023
13225143,JG441646,2023-09-27 18:43:00.000000 UTC,021XX N CLARK ST,THEFT,FROM BUILDING,RESTAURANT,false,false,1814,18,43,7,06,41.920762831,-87.637560029,2023
